"filename", "language", "C++", "Swift", "XML", "JSON", "Markdown", "Dart", "YAML", "HTML", "Properties", "Groovy", "Java", "comment", "blank", "total"
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\controllers\ListControllers.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 14, 59
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\controllers\nav_bar_pageController.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\controllers\playerData.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 2, 10, 46
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 12, 6, 83
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 103, 10, 217
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\navigationBar\google_navBar.dart", "Dart", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 1, 5, 73
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\objects\player.dart", "Dart", 0, 0, 0, 0, 0, 244, 0, 0, 0, 0, 0, 1, 19, 264
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\objects\team.dart", "Dart", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 1, 11, 147
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\objects\widgets\header.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 3, 35
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\objects\widgets\note_card.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 36
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\pages\HomePage.dart", "Dart", 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 1, 12, 239
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\pages\SignInPages\register.dart", "Dart", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 2, 9, 86
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\pages\SignInPages\signIn.dart", "Dart", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 1, 14, 147
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\pages\TeamsPage.dart", "Dart", 0, 0, 0, 0, 0, 203, 0, 0, 0, 0, 0, 4, 16, 223
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\pages\playerPage.dart", "Dart", 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 0, 0, 17, 276
"c:\Users\lizhi\Desktop\App\TennisAppProject\app_apk\lib\pages\profilePages\AccountPage.dart", "Dart", 0, 0, 0, 0, 0, 195, 0, 0, 0, 0, 0, 2, 12, 209
